group,index#1:,index#2:,index#3:,index#4:,index#5:,index#6:,index#7:,index#8:,index#9:,index#10:,index#11:,index#12:,index#13:,index#14:,index#15:,index#16:,index#17:,index#18:,index#19:,index#20:,index#21:,index#22:,index#23:,index#24:,index#25:,index#26:,index#27:,index#28:,index#29:,index#30:,index#31:,index#32:,index#33:,index#34:,index#35:,index#36:,index#37:,index#38:,index#39:,index#40:,index#41:,index#42:,index#43:,index#44:,index#45:,index#46:,index#47:,index#48:,index#49:,index#50:,index#51:,index#52:,index#53:,index#54:,index#55:,index#56:,index#57:,index#58:,index#59:,index#60:,index#61:,index#62:,index#63:,index#64:
stand,24.759,24.759,25.495,25.495,26.907,26.249,27.019,27.803,27.203,27.203,27.803,28.018,28.018,26.627,26.077,27.459,26.077,26.077,25.239,24.698,24.698,24.698,23.854,23.022,23.022,23.022,21.633,20.809,20,20,19.209,20,18.601,17.205,17.029,16.279,16.279,14.866,13.454,13.454,13.454,12.728,11.314,10.63,10.63,9.22,9.22,8.602,7.211,7.211,5.831,5.831,0,0,0,0,0,0,0,0,0,0,0,0
stand,25.179,25.318,25.179,25.318,27.295,26.476,28.443,27.659,27.659,28.636,28.862,27.893,27.893,27.893,27.203,28.16,26.249,26.249,25,26.249,25.298,25,25,23.77,22.804,22.804,21.84,21.587,20.396,20.396,19.416,19.416,18.439,17.263,16.279,16.279,16.125,15.133,14.142,13.038,13.038,12.042,12,11,10,9,9.055,7.071,7.071,6.325,6.083,5.385,0,0,0,0,0,0,0,0,0,0,0,0
stand,23.77,24.166,24.698,26,25.632,26.926,25.632,26.571,26.571,26.249,28.16,27.203,26.926,26.926,26.926,25.962,25.962,24.739,25,24.739,24.739,23.77,22.804,22.804,21.84,22.804,21.19,20.248,20.248,18.974,19.313,18.028,18.385,17.088,16.155,16.155,15.232,15.232,14.318,13.416,12.083,12.083,11.662,10.296,10.817,9.434,8.602,8.062,6.403,6.403,5.831,5.657,0,0,0,0,0,0,0,0,0,0,0,0
stand,25.08,25.08,26.077,27.166,27.166,27.166,27.166,28.284,28.284,28.284,28.284,28.443,28.443,28.443,27.659,28.636,26.476,26.683,25.495,25.71,25.71,24.515,24.515,24.331,24.331,23.345,22.361,22.204,21.095,21.095,20.1,19.105,19.105,18.111,17.029,17.029,17,15,15,14,14,13.038,12.042,11.045,11.045,10.05,9.055,8.062,7.071,7.28,6.083,5.385,0,0,0,0,0,0,0,0,0,0,0,0
stand,24.083,24.759,25.495,25.495,26.249,26.249,27.019,27.019,27.803,27.203,28.601,28.018,28.018,26.627,27.459,26.627,26.077,25.239,25.239,25.239,24.698,23.854,23.854,23.022,23.022,23.022,21.401,20.809,20,20,19.209,19.209,17.804,17.804,17.029,17.029,16.279,14.866,14.866,14.142,13.454,12.728,11.314,11.314,10.63,9.22,9.22,8.602,7.81,7.211,5.831,5.831,0,0,0,0,0,0,0,0,0,0,0,0
stand,26.077,26.173,27.074,27.166,28.16,28.284,28.284,29.275,29.428,29.428,29.614,29.614,28.862,28.862,28.862,28.862,27.893,27.893,26.683,26.926,26.683,25.71,25.71,24.739,24.515,23.537,23.345,22.361,22.361,21.213,20.224,20.224,19.235,19.105,18.111,18.111,16.031,16.031,16.031,15.033,14,13,12,12,11.045,11.045,9,9.22,8.246,8.246,6.325,5.831,0,0,0,0,0,0,0,0,0,0,0,0
stand,23.022,24.021,24.021,24.021,25.02,27.019,26,26,27.019,26.019,26.019,26.019,26.077,26.077,26.173,25.179,25.179,24.187,24.187,24.187,23.195,22.204,22.091,22.023,22.091,21.024,20.025,20.025,20.025,18,18.028,17,17,16,16,15.033,15.033,14.036,13.038,13.038,12.042,12.042,10.198,10.198,9.055,8.246,8.246,7.28,6.325,5.385,5.385,4.472,0,0,0,0,0,0,0,0,0,0,0,0
stand,23.707,23.259,23.707,24.597,24.597,25.06,25.942,26.42,26.42,26.077,26.627,26.627,25.807,25.807,25.239,25.807,24.413,24.413,23.854,24.413,23.022,22.472,22.204,21.633,21.633,21.633,19.723,19.723,19.235,18.358,18.358,17.889,17,16.553,15.232,15.652,14.318,13.416,13,12.083,11.705,11.705,10.44,10.44,9.487,8.246,8.246,7.071,6.083,6.083,5,5,0,0,0,0,0,0,0,0,0,0,0,0
stand,22.847,23.77,23.77,25.08,25.08,25.495,25.495,25.942,25.942,25.942,26.42,26.42,26.42,26.42,26.077,26.077,25.239,24.698,24.698,23.854,23.854,23.022,22.472,22.472,22.472,21.095,21.095,19.723,19.723,18.358,18.358,17.493,17,16.125,16.125,15.652,15.652,14.318,13.416,13,12.083,12.083,10.77,9.849,9.487,8.544,8.544,7.616,6.325,6.083,5.099,5.099,0,0,0,0,0,0,0,0,0,0,0,0
stand,23.087,24.187,24.187,25.08,25.08,26.077,25.08,26.077,26.019,26.019,27.019,26,26,26,26,25.02,26.019,24,25.02,24.021,24.021,23.022,22.023,23,22,22,20.025,20.025,20.025,18.028,19.026,18.028,17.029,16.125,16.031,15.033,15.133,14.142,13.153,13.153,12.166,11.18,10.198,10.44,9.22,8.544,8.246,6.325,6.325,5.385,5.385,4.243,0,0,0,0,0,0,0,0,0,0,0,0
stand,22.361,25.06,22.825,26.42,25.554,26.926,26.077,26.627,26.627,26.627,27.459,27.203,26.627,26.401,26.401,25.807,26.401,25,25.612,24.207,24.207,24.207,22.804,23.022,22.204,22.204,20.809,20.248,20.248,18.868,20.248,18.868,18.028,16.643,16.125,16.125,15.652,14.765,13.416,13.416,12.53,13,10.77,10.77,9.849,9.487,8.544,8.246,7.28,7.071,6.083,5,0,0,0,0,0,0,0,0,0,0,0,0
stand,23.259,24.166,24.166,25.08,25.08,26,26,26.571,26.571,26.571,26.571,26.249,26.249,26.249,25.962,26.249,25.298,25.298,24.042,24.042,24.042,23.087,22.136,22.472,22.136,21.541,20.248,19.698,19.698,18.788,18.788,17.889,17.889,17,15.652,16.125,14.765,13.892,13.038,13.038,12.207,12.207,10.817,10,10,9.22,8.485,7.071,7.071,6.403,5.831,5,0,0,0,0,0,0,0,0,0,0,0,0
stand,22.672,23.431,23.431,24.083,24.083,24.759,25.495,25.456,25.456,25.456,26.173,26.173,26.173,25.495,25.495,25.495,24.759,23.345,24.083,24.083,22.672,22.672,21.932,21.932,21.932,21.213,20.518,19.105,19.105,18.439,17.692,17.692,17.029,15.62,16.401,16.643,15,13.601,13.038,12.207,12.207,10.817,10.296,9.434,9.434,8.062,7.616,6.708,6.325,5.099,5.099,4.123,0,0,0,0,0,0,0,0,0,0,0,0
stand,22.804,24.839,22.804,25.612,24.839,26.249,25.495,26.173,26.907,25.495,26.907,26.173,26.173,26.173,26.87,25.456,25.456,24.042,25.456,24.042,23.345,23.345,22.627,21.932,21.932,21.932,21.26,19.849,20.616,18.439,19.209,18.439,17.804,16.401,16.401,15.811,15.811,14.422,14.422,14.422,12.207,13.038,11.18,11.18,9.849,8.944,8.944,7.616,7.616,6.325,6.325,5.099,0,0,0,0,0,0,0,0,0,0,0,0
stand,23.195,23.195,25.318,25.318,25.318,25.495,25.71,26.926,26.926,26.926,26.926,25.962,27.203,25.962,26.249,26.249,25,25.298,24.042,24.352,24.352,23.409,23.087,22.804,21.84,21.84,20.881,20.616,19.416,19.416,19.416,18.439,17.464,17.464,16.279,16.279,16.125,15.133,14.142,13.153,13.153,12.042,12.042,11.045,10.05,9,9,8,7.071,7.071,6.083,5.099,0,0,0,0,0,0,0,0,0,0,0,0
stand,19.925,20.881,20.881,21.84,21.84,21.84,22.804,22.804,23.77,22.561,23.537,23.345,23.345,22.361,23.345,22.361,22.361,21.378,21.378,21.378,21.213,20.224,19.235,19.416,19.416,19.235,17.464,17.464,17.464,16.492,16.492,15.524,15.524,14.56,13.601,13.601,12.369,12.649,11.705,10.77,10.77,9.487,9.849,8.544,8.544,6.708,6.708,5.831,5.831,5,4.472,4.243,0,0,0,0,0,0,0,0,0,0,0,0
