no-people,people
17.393,19.245
19.203,19.525
21.466,20.035
19.794,18.919
19.324,17.604
16.31,18.685
18.72,22.413
18.628,18.096
19.475,21.159
17.889,19.074
19.804,20.056
16.008,17.948
18.859,17.117
20.327,19.586
21.381,16.555
16.372,19.838
16.446,20.143
17.998,15.76
18.91,16.429
16.948,18.366
16.597,16.082
19.127,13.166
17.957,15.823
21.457,16.006
19.045,15.115
17.977,16.98
17.869,15.823
18.818,16.539
19.227,15.23
16.144,16.332
18.558,17.169
19.593,17.338
18.754,16.753
18.017,18.983
16.11,16.81
17.932,18.514
18.779,16.759
18.471,17.446
18.716,18.661
17.921,18.4
19.034,18.927
18.505,21.275
17.947,20.934
20.231,19.11
19.098,19.647
18.694,20.572
19.345,18.492
15.736,20.726
21.676,19.506
19.392,19.555
18.176,15.615
18.434,17.192
18.566,20.158
18.485,20.063
21.914,17.868
14.523,16.391
18.227,20.133
17.599,18.927
19.09,17.324
18.292,17.976
16.846,15.326
16.451,19.133
19.29,17.718
19.769,16.923
18.502,18.575
18.518,17.591
15.226,17.142
19.739,18.06
18.73,15.265
19.947,17.816
18.939,17.94
20.495,15.931
21.593,17.44
21.451,17.31
18.555,16.528
18.09,17.035
21.418,14.489
16.296,16.977
17.854,14.564
21.497,11.873
16.926,13.235
20.118,18.463
18.076,18.016
19.75,18.942
19.4,19.568
19.332,17.336
17.171,18.424
18.534,16.845
19.437,21.188
19.267,16.714
18.975,18.096
17.306,19.457
18.368,17.869
15.934,20.382
18.32,20.448
17.707,18.932
19.659,21.643
19.432,19.095
18.95,18.935
20.545,16.534
19.091,16.977
16.717,18.804
16.75,18.106
20.238,17.947
21.331,18.058
21.578,20.213
18.537,19.45
16.577,17.601
19.027,20.164
19.928,19.381
18.589,18.028
18.808,18.839
19.148,16.776
18.49,17.697
16.569,17.65
20.167,18.134
16.941,17.176
17.266,15.902
21.138,17.711
17.585,14.307
19.779,16.355
19.643,17.188
18.967,14.721
15.008,16.112
18.634,18.093
20.028,17.974
19.943,18.103
19.366,18.509
19.554,17.364
19.317,16.923
19.553,19.592
19.023,17.243
17.647,16.727
18.414,20.669
16.352,20.318
17.101,18.971
19.853,19.033
19.829,19.434
20.746,18.968
