group,index#1:,index#2:,index#3:,index#4:,index#5:,index#6:,index#7:,index#8:,index#9:,index#10:,index#11:,index#12:,index#13:,index#14:,index#15:,index#16:,index#17:,index#18:,index#19:,index#20:,index#21:,index#22:,index#23:,index#24:,index#25:,index#26:,index#27:,index#28:,index#29:,index#30:,index#31:,index#32:,index#33:,index#34:,index#35:,index#36:,index#37:,index#38:,index#39:,index#40:,index#41:,index#42:,index#43:,index#44:,index#45:,index#46:,index#47:,index#48:,index#49:,index#50:,index#51:,index#52:,index#53:,index#54:,index#55:,index#56:,index#57:,index#58:,index#59:,index#60:,index#61:,index#62:,index#63:,index#64:
unmammed,29.698,29.069,29.069,29.206,28.601,28.844,27.459,26.42,25.554,25.06,25.06,23.707,22.361,21.471,20.125,19.723,18.868,17.493,17.493,17.205,15.811,15.62,15.62,14.866,14.142,13.454,13.601,13.038,13.416,13,13,13.928,13.601,13.601,13.153,14.318,14.142,14.142,14.036,14.036,14,14,14,14,14.036,14,14,14.142,14.142,13.153,14.142,14.142,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,28.018,27.459,27.785,28.653,26.833,27.313,26,26,24.352,23.77,23.409,22.136,21.19,20.248,19.925,18.974,18.028,17.088,16.155,15.232,15.652,14.765,13.892,14.422,13.601,12.806,12.728,12.728,12.806,12.207,13.038,13.038,12.53,12.53,13,12.649,13.601,13.601,12.649,13.601,13.601,14.318,13.342,13.342,13.153,13.153,13.153,13.153,13.038,13.038,13.038,13.038,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,29.682,23.854,26.926,29.547,23.601,25.495,22.804,26.907,23.345,21.26,24.042,21.932,21.213,20.518,19.799,18.385,17.692,16.279,16.971,15.556,14.866,14.213,12.806,13.601,13.038,11.662,11.18,10.77,11.705,10.44,10.44,11.18,10.05,11.045,11.045,10,11,11.045,11.045,11.045,11.18,11.18,10.198,11.402,11.402,10.44,10.44,10.77,10.77,10.77,10.77,10.296,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,29.411,29.682,29.682,28.653,29.53,28.636,27.313,26.571,25.632,25.298,24.352,23.087,23.087,22.136,20.881,20.248,18.028,17.088,16.155,16.155,15.232,14.765,13.416,13.038,12.207,11.402,11.314,10.817,10.296,10.296,10.77,10.44,10.44,10.44,11.045,11.18,11.045,11,12.042,12.042,11.045,11.18,11.402,11.705,12.369,12.649,12.649,12.649,13,12.53,13.416,12.53,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,26.833,26.42,26.42,27.459,25.239,26.401,24.839,24.083,23.345,21.932,21.932,21.213,20.518,19.105,19.105,17.692,17.029,16.279,15.62,14.213,13.601,13.601,12.207,12.53,11.18,12.083,10.44,10.05,10.05,11,10.05,10.05,10.198,10.198,9.22,9.487,11.18,11.18,10.296,11.662,10.817,12.207,10.817,12.042,11.402,12.042,12.042,12.042,12.042,12.806,12.806,12.806,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,28.32,27.659,27.019,27.203,26.627,26.926,25.554,25.06,24.597,23.259,23.259,21.932,21.541,20.616,19.698,18.385,17.889,17.464,16.125,16.125,14.765,13.892,13.038,13.601,12.806,12.806,11.314,11.402,11.402,10.296,11.18,11.18,10.77,10.77,11.402,11.402,12.369,12.166,12.166,12.042,12.042,12.042,12,12,12,12.042,12.042,12.166,12.166,12.166,12.166,12.166,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,33.015,33.287,31.385,34.482,31.765,33.106,30.463,30.083,29.732,27.857,27.857,26.249,25.298,24.352,24.352,23.087,22.136,20.248,20.248,18.385,17.464,17.464,15.652,15.264,15.264,14.422,13.454,12.728,13.454,12.207,12.207,12.53,12.53,13,13,12.649,12.369,13.342,12.166,13.153,12.166,13.038,13,13,12,12.042,13.038,12.166,12.166,12.369,12.369,12.649,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,28.46,29.12,28.16,28.636,28.636,27.295,27.166,27.074,26.077,25.08,24.021,24.021,23.022,22.023,21,21.024,19.026,18.028,18.028,17.029,16.031,15.297,14.142,13.342,13.342,12.649,10.77,10.296,10.817,10,10.63,9.899,9.899,10,10,9.434,10.296,9.849,9.487,9.487,9.487,9.22,9.22,10.198,9.055,9.055,10,9,9,10.05,9.22,9.22,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,26.249,26.907,25.495,26.87,25.495,25.495,24.839,24.207,23.601,22.804,23.022,22.204,20.809,20.248,19.416,18.028,17.493,15.811,15.811,14.422,15.62,14.213,13.454,13.454,11.314,12.042,10.817,10.296,10.296,9.849,9.487,9.487,9.22,9.22,9.055,10.05,9,9.055,9.055,10.05,9.055,9.22,8.246,9.22,8.544,8.544,8.944,8.944,8.602,8.602,8.602,8.602,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,29.069,27.785,28.302,27.459,28.018,27.203,26.401,26.249,25.495,25.612,25.495,24.083,23.345,22.672,21.213,21.213,19.105,19.105,17.692,17.029,16.279,15.62,15,14.422,13.892,13.416,12.083,11.705,11.402,11.18,10.05,10.05,11,10,10,10.05,10.198,9.22,9.487,9.487,9.487,8.944,8.944,9.434,8.602,8.602,8.602,8.485,9.22,9.434,9.434,8.062,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,29.155,28.636,27.731,29.069,27.785,28.302,26.627,27.203,26.401,25.807,25,23.601,22.804,22.804,22.023,20.616,20,18.601,18.601,17.205,17.205,15.811,15.264,14.765,14.318,13.928,13.601,12.369,12.166,12.042,12,12,12.042,12.042,12.166,12.166,11.402,12.369,11.705,11.705,11.705,12.083,11.18,11.18,11.662,11.662,11.662,11.402,11.402,11.314,11.314,12.042,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,28.792,30.083,29.547,29.967,29.069,28.653,28.302,27.459,26.627,25.807,25.807,24.413,24.207,23.601,22.023,21.401,20.616,19.209,18.601,17.205,17.205,15.811,15.264,14.765,14.318,14.318,13.601,12.369,12.166,13.038,13.038,13,12,13,13.038,12.166,13.342,12.369,12.649,12.649,12.649,13,12.083,12.083,12.53,12.083,12.53,11.662,12.207,12.806,12.806,12.806,0,0,0,0,0,0,0,0,0,0,0,0
